type_of_work,building_function_code,original_date_factor,floor_area,main_construction,storeys,original_location_factor,contract_contract_sum,cost_increment,cost_rebased
1,713.1,89,324,2,1,99.0,2802.7808641975307,3.58,12836.74
1,127.4,71,403,2,1,106.0,443.7816377171216,4.75,2551.74
1,562.12,89,1214,2,1,99.0,748.0238879736409,3.58,3425.95
3,154.1,93,520,2,1,97.0,556.251923076923,3.39,2441.95
3,732.0,88,605,3,1,102.0,1311.284297520661,3.64,6084.36
1,732.0,88,522,2,1,102.0,1519.7835249042146,3.64,7051.8
1,713.1,89,281,2,1,99.0,3231.67615658363,3.58,14801.08
1,732.0,57,4117,3,1,115.0,284.4160796696624,6.16,2036.42
3,375.1,89,1695,2,1,119.0,650.2884955752212,3.58,2978.32
1,732.0,61,6053,3,1,97.0,386.6190318850157,5.69,2586.48
1,124.0,84,1460,2,2,109.0,1206.964383561644,3.86,5865.85
1,421.0,89,743,1,1,109.0,544.9771197846568,3.58,2496.0
1,712.0,88,590,1,1,97.0,447.3593220338983,3.64,2075.75
1,762.0,88,851,4,1,107.0,418.16451233842537,3.64,1940.28
1,816.0,88,1705,1,1,111.0,291.34193548387094,3.64,1351.83
1,843.0,88,1926,1,1,126.0,388.22118380062307,3.64,1801.35
3,417.11,90,954,1,1,97.0,544.3899371069182,3.53,2466.09
1,421.0,89,882,1,1,90.0,437.6383219954649,3.58,2004.38
1,841.0,88,112,1,1,126.0,6676.017857142857,3.64,30976.72
1,856.5,88,2827,1,3,102.0,239.221082419526,3.64,1109.99
1,843.0,88,2017,1,2,119.0,371.0699058006941,3.64,1721.76
3,412.0,90,964,1,2,97.0,510.8278008298755,3.53,2314.05
1,127.13,86,4478,2,1,109.0,364.52166145600717,3.74,1727.83
3,630.0,37,176,1,1,98.0,239.9375,10.03,2646.51
3,320.0,71,4070,3,1,126.0,456.78648648648647,4.75,2626.52
1,816.0,67,99,1,2,99.0,7429.010101010101,5.09,45242.67
1,816.0,67,105,1,2,99.0,7004.495238095238,5.09,42657.38
1,816.0,67,122,1,2,99.0,6028.459016393443,5.09,36713.32
1,816.0,67,122,1,2,99.0,6028.459016393443,5.09,36713.32
1,421.0,89,431,1,1,96.0,383.6055684454756,3.58,1756.91
1,345.1,41,1066,1,1,107.0,240.5375234521576,8.95,2393.35
3,154.1,44,1388,3,1,102.0,153.70028818443805,8.27,1424.8
3,345.0,43,1652,2,1,99.0,201.8819612590799,8.49,1915.86
3,856.5,44,800,1,1,94.0,184.2325,8.27,1707.84
1,444.0,37,269,1,1,92.0,706.9368029739777,10.03,7797.51
1,810.13,44,90,1,2,93.0,9560.133333333333,8.27,88622.44
1,810.13,44,97,1,2,93.0,8870.226804123711,8.27,82227.0
1,810.13,44,121,1,3,93.0,7110.842975206611,8.27,65917.51
1,810.13,44,79,1,2,119.0,3002.8607594936707,8.27,27836.52
1,810.12,44,81,1,1,99.0,12204.197530864198,8.27,113132.91
1,810.13,44,91,1,1,99.0,10863.076923076924,8.27,100700.72
1,810.13,44,121,1,1,99.0,8169.752066115702,8.27,75733.6
1,810.13,44,130,1,1,99.0,7604.153846153846,8.27,70490.51
1,816.0,46,396,1,2,91.0,745.8863636363636,7.87,6616.01
1,816.0,46,144,1,2,91.0,2051.1875,7.87,18194.03
1,816.0,44,1070,1,3,96.0,136.43644859813085,8.27,1264.77
1,816.0,44,221,1,2,99.0,4473.031674208145,8.27,41465.0
1,816.0,44,221,1,2,99.0,4473.031674208145,8.27,41465.0
1,816.0,46,1831,1,2,91.0,161.3167667941016,7.87,1430.88
1,816.0,57,151,1,2,96.0,593.4701986754967,6.16,4249.25
1,816.0,50,3027,1,2,97.0,136.92368681863232,7.16,1117.3
1,816.0,44,671,1,3,107.0,415.90909090909093,8.27,3855.48
1,816.0,55,1167,1,2,99.0,152.52270779777206,6.42,1131.72
1,816.0,64,957,1,3,119.0,179.72309299895508,5.38,1146.63
1,816.0,67,54,1,2,109.0,21649.796296296296,5.09,131847.26
4,816.0,67,74,1,2,109.0,15798.5,5.09,96212.86
1,816.0,54,762,1,3,103.0,267.59448818897636,6.56,2023.01
1,816.0,74,221,1,1,111.0,7820.601809954751,4.51,43091.52
1,816.0,86,643,1,3,96.0,1117.320373250389,3.74,5296.1
1,816.0,87,1927,1,2,101.0,245.7908666320706,3.69,1152.76
3,816.0,71,1448,1,3,126.0,306.20372928176795,4.75,1760.67
1,816.0,35,3811,1,1,126.0,125.73182891629493,10.66,1466.03
1,810.12,42,127,1,1,91.0,410.6771653543307,8.71,3987.68
1,810.13,54,180,1,1,111.0,1119.161111111111,6.56,8460.86
1,810.13,74,47,1,1,111.0,36773.46808510638,4.51,202621.81
1,841.0,42,188,1,2,99.0,1341.590425531915,8.71,13026.84
1,810.13,42,79,3,2,93.0,19434.59493670886,8.71,188709.92
1,810.13,42,90,3,2,93.0,17059.255555555555,8.71,165645.37
1,810.13,42,97,3,2,93.0,15828.175257731958,8.71,153691.58
1,810.13,42,79,3,2,93.0,19434.59493670886,8.71,188709.92
1,810.13,42,90,3,2,93.0,17059.255555555555,8.71,165645.37
1,810.13,42,92,3,1,93.0,16688.402173913044,8.71,162044.39
1,810.13,42,116,3,1,93.0,13235.629310344828,8.71,128517.96
1,810.13,41,90,1,1,107.0,1661.111111111111,8.95,16528.06
1,841.0,37,117,1,1,92.0,1625.3504273504273,10.03,17927.62
1,810.13,44,50,1,1,93.0,17208.24,8.27,159520.38
1,810.13,44,79,1,2,93.0,10891.291139240506,8.27,100962.27
1,810.13,44,79,1,2,93.0,10891.291139240506,8.27,100962.27
1,810.13,44,79,1,2,93.0,10891.291139240506,8.27,100962.27
1,810.13,44,91,1,2,93.0,9455.076923076924,8.27,87648.56
1,810.13,67,82,1,2,99.0,8969.170731707318,5.09,54622.25
1,810.13,74,81,1,2,111.0,21337.69135802469,4.51,117570.68
1,816.0,42,1045,1,1,97.0,105.00765550239234,8.71,1019.62
1,816.0,42,796,1,1,110.0,933.1507537688442,8.71,9060.89
1,816.0,42,148,1,1,107.0,3166.4662162162163,8.71,30746.39
1,816.0,46,945,1,2,102.0,151.1978835978836,7.87,1341.13
1,816.0,47,108,1,2,100.0,1420.2037037037037,7.68,12327.37
1,816.0,47,698,1,3,98.0,687.2550143266476,7.68,5965.37
1,816.0,47,591,1,2,98.0,811.6818950930626,7.68,7045.4
1,816.0,47,698,1,3,98.0,687.2550143266476,7.68,5965.37
1,816.0,47,809,1,3,98.0,592.9592088998764,7.68,5146.89
1,816.0,44,991,1,2,97.0,114.82139253279516,8.27,1064.39
1,711.0,88,146,1,1,90.0,378.0753424657534,3.64,1754.27
1,282.1,94,1617,2,1,93.0,252.1113172541744,3.34,1094.16
1,810.13,50,88,1,2,90.0,28575.647727272728,7.16,233177.29
1,810.12,54,177,1,1,111.0,1138.129943502825,6.56,8604.26
1,810.11,54,88,1,1,111.0,2289.193181818182,6.56,17306.3
1,810.12,54,177,1,1,111.0,1138.129943502825,6.56,8604.26
1,810.12,54,159,1,1,111.0,1266.9748427672955,6.56,9578.33
1,810.13,50,91,1,2,100.0,3163.296703296703,7.16,25812.5
1,810.13,50,91,1,2,100.0,3163.296703296703,7.16,25812.5
1,810.13,50,67,1,2,100.0,4296.417910447762,7.16,35058.77
1,810.13,50,67,1,2,100.0,4296.417910447762,7.16,35058.77
1,810.13,57,307,1,2,96.0,291.90228013029315,6.16,2090.02
1,810.13,44,87,4,2,102.0,2021.9310344827586,8.27,18743.3
1,810.13,61,80,1,1,96.0,4375.225,5.69,29270.26
1,810.13,64,82,1,2,90.0,10505.707317073171,5.38,67026.41
1,810.13,67,82,1,2,109.0,14257.182926829268,5.09,86826.24
1,810.13,67,112,1,3,109.0,10438.294642857143,5.09,63569.21
1,810.13,67,116,1,3,109.0,10078.353448275862,5.09,61377.17
1,810.13,54,902,1,1,103.0,226.0609756097561,6.56,1709.02
1,810.13,67,82,1,2,99.0,8969.170731707318,5.09,54622.25
1,345.1,61,545,1,1,90.0,243.19266055045873,5.69,1626.96
1,841.0,86,195,1,1,98.0,311.5897435897436,3.74,1476.94
1,856.4,71,915,1,1,97.0,316.17814207650275,4.75,1818.02
1,856.5,64,1580,1,1,96.0,207.68164556962026,5.38,1325.01
1,843.0,37,1992,1,1,90.0,108.91516064257029,10.03,1201.33
1,843.0,37,667,1,2,98.0,113.06146926536732,10.03,1247.07
1,843.0,41,1779,1,1,126.0,143.92523889825745,8.95,1432.06
1,843.0,42,676,1,3,111.0,204.0784023668639,8.71,1981.6
1,843.0,44,49,1,1,91.0,2498.2244897959185,8.27,23158.54
